summary,hybrid_binary,explanation,classification,sentId
"The sentence describes human attendants as 'mere machines,' collapsing the human/mechanical distinction by casting people in purely mechanical, functional terms rather than as living, feeling beings.",Yes,"{'run': ""Depicts attendants' movement as mechanical repetition, reinforcing machine-like function."", 'mere': 'Diminishes attendants to bare mechanical status, stripping human agency.', 'about': ""Part of 'run about,' emphasizing repetitive, purposeless motion typical of machines."", 'are': 'Copula linking attendants directly to machine identity.', 'reduced': 'Marks the transformation of humans into machine-like entities, central to technomorphism.', 'library': 'Setting; not directly relevant to the human-machine framing.', 'building': 'Physical context for the mechanical activity, not directly relevant to hybridity.', 'used': 'Implies attendants are tools or instruments, mechanical framing of human role.'}",technomorphism,4643
"The sentence simply asks whether someone has observed machines operating, without attributing feeling or vitality to them, or mechanical traits to humans. No interpenetration of registers occurs.",No,"work: refers neutrally to mechanical function, not emotional/vital trait; how: neutral question word; !: shows enthusiasm from speaker, not machine; the: neutral article; have: auxiliary verb, neutral; ;: punctuation, neutral; yes: human affirmation, neutral; i: refers to human speaker, not mechanized; said: neutral reporting verb; you: refers to human interlocutor; oh: expresses human emotion, not machine trait",neutral,4646
"The sentence describes machines neutrally as useful tools powered by steam, without attributing feeling, agency, or vitality to them, nor describing humans mechanically. No interpenetration of registers occurs.",No,"steam: power source, neutral; that: relative pronoun, neutral; do: mundane function, not vitalizing; good: evaluative but not emotional/alive; now: temporal marker, neutral; have: possession, neutral; work: mechanical function, neutral; ',': punctuation, irrelevant.",neutral,4652
"The sentence denies the machine human-like reading ability but attributes it a form of guided agency via 'nicks,' blending mechanical function with quasi-cognitive description, suggesting mild hybridity.",Yes,"'read' and 'guided' project cognitive/human-like action onto the machine, while 'cannot' negates full human capacity. 'Nicks' shows mechanical means enabling this quasi-perceptual act, blending registers.",anthropomorphism,12845
"The sentence expresses personal belief and trust in 'that machine,' attributing a faith-like relationship between human and machine, suggesting emotional investment rather than treating the machine as purely mechanical.",Yes,"'believe' shows an emotional/faith-based human attitude directed at the machine, implying trust as if it deserved such regard; '.' has no semantic content and is irrelevant.",anthropomorphism,4653
"The phrase 'the machine taking the bread out of their mouths' attributes human-like agency and intent to the machine, blending mechanical and living registers, showing a hybrid, anthropomorphic understanding.",Yes,"'Bread' evokes human sustenance/livelihood, 'their' refers to workers whose lives are affected, 'trade' and 'scoundreldom' frame human social conflict around the machine, which is cast as an active agent taking their bread.",anthropomorphism,4655
"The machine is described with vivid, almost energetic action ('flinging off'), suggesting vitality, while humans compete like mechanical performers, blending living and mechanical registers hybridly.",Yes,"'Flinging off' gives the cylinder machine dynamic, almost gleeful vitality (anthropomorphism), while 'vieing with each other' in 'rapidity and skill' frames human workers as performing repetitive, machine-like feats (technomorphism), merging both registers.",anthropomorphism,12847
"The sentence describes soldiers as 'mere machines,' projecting mechanical qualities (automatic, unfeeling repetition) onto humans, which reflects technomorphism rather than a true hybrid interpenetration of registers.",No,"soldiers/fighters: human subjects described mechanically; mere machines: key technomorphic phrase reducing humans to mechanical function; hard: reinforces unfeeling, mechanical toughness; were/those/days: neutral structural words; .: punctuation, no semantic role.",technomorphism,12854
"The sentence focuses on personal troubles and hopes concerning Hallett and 'the machine,' without describing the machine in living terms or the human in mechanical terms.",No,"the: generic article, no relevance. hallett: human character, referenced with hopes, not mechanized. troubles: emotional human concern, not mechanical. idea: mental/emotional human concept, unrelated to machine description.",neutral,4665
"The sentence pairs 'handy little machines' with 'busy little workers,' attributing lively, almost human-like charm to machines while workers are described briefly and equivalently, blending mechanical and human registers.",Yes,"‘Little’ and ‘busy’ humanize the machines, giving them vitality akin to workers; ‘workers’ parallels ‘machines’ syntactically, blurring distinction; ‘and’ links them as equivalent entities; ‘strangers’ and ‘parts’ are neutral, contextual terms with no anthropomorphic/technomorphic weight.",anthropomorphism,12857
"The sentence describes a human (French schoolboy) in mechanical terms, labeling him a 'machine' and emphasizing incapacity for friendship, showing interpenetration of mechanical and emotional/social registers.",Yes,"'is a' establishes the metaphorical equivalence (boy = machine); 'friendship' signals the emotional/social register being negated by mechanization; 'his' ties the machine-quality to a specific human subject. ',', 'up' are not relevant.",technomorphism,12860
"Peter is described as behaving 'as if he had been a mere machine used by Fred,' likening a human to a mechanical instrument devoid of emotion or agency — a technomorphic description, not a hybrid blending of registers.",No,"'Mere' and 'used' emphasize Peter's reduction to a passive, instrumental tool lacking will or emotion, reinforcing the mechanical comparison rather than blending human and machine qualities into a hybrid vitality.",technomorphism,4670
"The machine is depicted with lively, almost willful motion ('twirl went the machine') that actively interrupts human conversation, blending mechanical action with agency typically attributed to living beings.",Yes,"{'twirl': ""Describes machine's motion as lively, animate-like action."", 'machine': 'Subject given agency-like behavior.', 'putting': 'Verb implies intentional action, suggesting agency.', 'end': ""Result of machine's act, framed as consequence of its 'behavior'."", 'girls': ""Human subjects affected by machine's action, showing interaction between human and mechanical registers."", 'conver': ""Part of 'conversation', the human activity disrupted by the machine's action."", '.': 'Not relevant.', 'and': 'Not relevant.', 'between': 'Indicates relation between girls, not directly relevant.', ',': 'Not relevant.', 'further': ""Modifies 'conversation', not directly relevant."", 'to': 'Grammatical connector, not relevant.'}",anthropomorphism,12863
"The sentence contrasts machine-made hoods with mother's kindly knitted socks, keeping mechanical and emotional/human registers distinct rather than blending them; no hybridity is present.",No,"‘mother’ and ‘kindly’ emphasize human warmth and care, opposed to ‘our machine’ which is neutral and functional. ‘which’ links clauses but adds no hybrid meaning. No blending of mechanical and emotional traits occurs.",neutral,4672
"The sentence describes a human acting with 'machine like regularity,' projecting mechanical qualities onto a person, which is technomorphism and reflects a hybrid blending of mechanical and human registers.",Yes,"'like' and 'regularity' directly compare human action to machine precision; 'methodically7' reinforces mechanical repetition; 'he' is the human subject receiving mechanical qualities; other words ('with, for, looking, up, began, preparations, make') provide context but are not central to the hybridity.",technomorphism,12869
"The sentence describes a human becoming 'a mere machine' during intense physical exertion, projecting mechanical qualities (lack of thought, mere function) onto the human body, exemplifying technomorphism.",Yes,'mere' emphasizes reduction to machine-like function; 'objection' frames the argument context; 'a' precedes 'mere machine' marking the technomorphic phrase; these words support the human-to-machine comparison central to the sentence's meaning.,technomorphism,4682
The sentence contrasts training 'men' versus 'machines' but doesn't blend living/emotional qualities with mechanical ones; it maintains a separation between human training and machine training rather than interpenetration.,No,"'Their, men' refers to national workers being trained, distinct from machines. The sentence separates men and machines as parallel but distinct categories (training men rather than machines), not merging human and mechanical registers.",neutral,12874
"The man's obstinacy is likened to a machine lacking brains or feeling, projecting mechanical, unfeeling qualities onto a human, exemplifying technomorphism rather than machine vitality.",Yes,"'man' is compared to 'a machine without brains or feeling,' projecting mechanical, unfeeling qualities onto a human being, which is the core technomorphic move; other words are structural/connective.",technomorphism,4706
"The sentence compares a man devoting himself to labor to functioning 'like a machine,' projecting mechanical, repetitive qualities onto a human, reflecting technomorphism rather than a fully hybrid interpenetration.",No,"man, a: 'man' is the human subject compared to a machine; 'a' is not relevant on its own, but forms part of 'a machine,' the mechanical comparison point for the technomorphic description.",technomorphism,12911
"The sentence compares a man's path through vegetation to that of a mowing machine, describing human action through a mechanical analogy rather than blending vitality into machinery itself.",Yes,"man: human subject compared to machine; mowing machine: mechanical reference used to describe human action; patch: setting for comparison; made/by/that/it/in/one/the: structural words linking man's action to machine simile, reinforcing technomorphic framing.",technomorphism,12913
"The sentence describes machines as inspiring awe ('miracle') and 'working,' subtly attributing lifelike activity to them, blending mechanical function with human-like wonder and vitality, reflecting a hybrid understanding rather than a strict opposition.",Yes,"{'working': 'Implies machines performing actions like living agents, suggesting vitality.', 'and': 'Connective, no semantic weight.', 'in': 'Locative preposition, no semantic weight.', 'weaving': 'Describes mechanical activity personified as purposeful work.', 'see': 'Human perception verb, frames human reaction to machine vitality.', 'a': 'Article, no semantic weight.', 'them': 'Refers to human observers, contrasts with machine agency.', 'spinning': 'Mechanical action described as lively, ongoing process.', 'the': 'Article, no semantic weight.', 'is': 'Copula, no semantic weight.', 'miracle': 'Attributes wonder/emotion to mechanical process, key anthropomorphic cue.'}",anthropomorphism,4724
"The sentence describes boys performing single, repetitive machine-like tasks in a factory line, blurring human and mechanical roles, suggesting a technomorphic depiction of workers as extensions of the machinery.",Yes,"‘boy’ refers to human workers reduced to singular repetitive actions; ‘with’ links human to machine operation; ‘another’ repeated emphasizes interchangeable, mechanical repetition of human roles akin to machine parts.",technomorphism,4726
"Miss Lambert is depicted as a 'teaching machine,' reducing her human role to mechanical repetition without understanding, blending human and mechanical registers via technomorphism.",Yes,"{'teaching': 'Key term establishing mechanical function ascribed to a human role.', 'book': 'Represents rote source material handed on without understanding, reinforcing mechanical repetition.', 'she': 'Refers to Miss Lambert, the human subject being mechanized.', 'miss': 'Identifies the human character being described in machine terms.', ',': 'Punctuation, no semantic relevance.', 'was': 'Copula linking human subject to machine metaphor.', 'from': 'Indicates mechanical transfer of information.', 'a': 'Article, no independent relevance.', 'not': 'Negates her understanding, emphasizing lack of agency akin to a machine.'}",technomorphism,12918
"The sewing machine is described as keeping 'rest and silence,' attributing a quiet, restful state to it, blending mechanical object with living/emotional stillness — a hybrid, anthropomorphic depiction.",Yes,"{'sewing': ""Refers to the machine that is anthropomorphized as 'keeping rest'."", 'under': 'Locates the machine spatially, tied to its personified stillness.', 'made': 'Refers to scratches made on table, neutral, part of furniture description.', 'table': 'Old dining table serving as work table, mechanical/utilitarian but not personified.', 'kept': ""Key verb attributing agency/state ('kept rest and silence') to the machine."", 'the': 'Function word, no semantic weight.', 'parlour': 'Domestic space term, neutral setting description.', 'work': ""Describes room's function, neutral."", 'old': ""Describes table's age, neutral."", 'duty': ""Table 'did duty' as work table — mild personification of furniture performing a role."", 'its': ""Possessive referring to machine's hood, ties to personification."", 'window': 'Spatial marker, neutral.'}",anthropomorphism,12967
"The narrator describes their own numb, mechanical state of travel while grieving, projecting machine-like qualities (lack of thought, automatic motion) onto their human experience — a technomorphic description reflecting hybridity between mechanical and emotional registers.",Yes,"{'travelled': 'Describes the human action being likened to mechanical motion.', 'like': 'Signals the simile comparing human behavior to a machine.', 'a': ""Part of the phrase 'like a machine,' establishing the technomorphic comparison."", 'machine': 'Central term projecting mechanical qualities onto the human traveler.', 'i': 'Refers to the narrator, the human subject being described mechanically.', 'could': 'Indicates incapacity, reinforcing mechanical, automatic behavior devoid of thought.', 'think': 'Highlights absence of cognitive engagement, akin to mechanical unthinking function.', 'nothing': 'Emphasizes emotional numbness paralleling mechanical blankness.', 'father': 'Provides emotional context (grief) contrasted with mechanical detachment.', 'dead': 'Introduces the emotional weight of loss underlying the mechanical simile.', ',': 'Punctuation structuring the contrast between mechanical action and emotional paralysis.', ';': 'Connects mechanical description to the emotional/cognitive incapacity that follows.', '.': 'Marks the end of the reflective, hybrid statement blending machine and emotion.'}",technomorphism,12973
"The sentence explicitly denies a hybrid understanding, contrasting the man's liveliness with 'the machine,' reinforcing opposition between mechanical and human/emotional registers rather than blending them.",No,"‘Nothing…about him’ explicitly negates mechanical qualities in the man, setting machine and human as opposites. ‘World’ signals his living, engaged humanity, contrasting with mechanical dullness. Other words are structural, not directly relevant.",neutral,4782
"The sentence describes a comic travel mishap involving a coach ('Chifier machine') but does not attribute feeling, will, or vitality to the machine, nor describe the human in mechanical terms.",No,outfide (outside seat on coach) and the coach machine reference are neutral technical terms; ':' and '?' are punctuation marks with no bearing on anthropomorphism or technomorphism.,neutral,4783
"The sentence compares a human warder's expressionless face to a machine, projecting mechanical qualities (lack of feeling/expression) onto a person, exemplifying technomorphism rather than a true interpenetration of registers.",No,"'a' is irrelevant, a grammatical article with no bearing on the answer. 'female' identifies the human subject (the warder) whose expressionlessness is being compared to a machine, establishing the technomorphic contrast between human and mechanical registers.",technomorphism,12982
"The sentence simply mentions hiring a machine alongside a person (Nannie) for domestic help, with no attribution of feeling, vitality, or mechanical qualities to either. It's a neutral, factual statement.",No,"'a' and 'day' are neutral function words with no bearing on animacy. 'nannie' refers to a human caretaker but is not described in mechanical terms, so no technomorphism occurs.",neutral,12983
"The sentence describes a human describing herself as devoid of feeling, action, and vitality, reducing herself to 'nothing but a machine.' This merges human and mechanical registers, reflecting a hybrid understanding through technomorphism.",Yes,"'nothing', 'no', 'but' emphasize negation of human traits (laughing, dreaming, acting), stripping away vitality; 'cat' signals lost playful/animal vitality; 'machine' reframes the self mechanically, merging human and mechanical registers.",technomorphism,12985
"The sentence describes the mother's dutiful behavior as having 'the regularity of a machine,' projecting mechanical qualities onto a human, exemplifying technomorphism and thus a hybrid blending of human and mechanical registers.",Yes,"'a' and 'thousand' are part of the idiom 'a thousand liberties,' unrelated to machine imagery. 'father' refers to Godfrey, not tied to mechanization. 'mind' appears in 'frames of mind,' referring to emotional/mental states, not machinery.",technomorphism,12986
"The phrase 'wonder working machine' attributes marvel-inducing agency and vitality to the machine, blending mechanical and emotional/living registers, suggesting a hybrid understanding rather than a strict mechanical/organic opposition.",Yes,"'Wonder' and 'working' imply the machine performs impressive, almost magical actions, granting it agency and awe-inspiring quality. 'Stood' gives it a posture akin to a living entity. 'At' is merely locative and not relevant.",anthropomorphism,4804
"The man is described as delivering bread mechanically, devoid of feeling, comparing his behavior directly to a machine's — a technomorphic projection of mechanical qualities onto a human.",Yes,"{'man': 'The human subject whose behavior is likened to a machine, central to the technomorphic framing.', 'a': ""Part of the phrase 'a machine might do,' introducing the mechanical comparison."", 'might': 'Modal verb framing the hypothetical machine-like action, reinforcing the technomorphic simile.'}",technomorphism,4806
"The sentence compares machine output to human labor in purely quantitative terms, treating both as interchangeable units of productivity. No vitality, feeling, or agency is attributed to the machine, nor are humans described mechanically beyond a work-output comparison.",No,"{'one': 'Refers neutrally to a single machine, no anthropomorphic trait implied.', 'men': 'Human labor unit compared quantitatively to machine output, not described as mechanical.', 'many': 'Quantifies human workers for comparison, no register blending.', 'work': 'Neutral term shared by both machines and humans, but used just for output comparison.', 'often': 'Indicates frequency, not emotional or mechanical framing.', 'as': 'Used in comparative structure, no interpenetration implied.', 'and': ""Simple conjunction linking 'men and women', neutral."", 'great': 'Quantifier describing amount of work, not vitality or mechanism.', 'much': 'Quantifies work output, purely comparative, no hybridity.'}",neutral,4831
"The sentence groups 'calculating boys' with 'machines' as equivalent reckoning agents, blurring human and mechanical categories by treating children and machines as interchangeable calculators.",Yes,"‘Boys’ and ‘machines’ are linked by ‘and’ as parallel calculating agents, equating human computation with mechanical function, merging the two registers into one category of reckoning entities.",technomorphism,13048
"Machines are described with human-like qualities—'powerful,' 'gently depositing,' 'admirable order'—suggesting agency and care, blending mechanical action with living/emotional register in a hybrid depiction.",Yes,"'Powerful' and 'gently' attribute strength and care to machines; 'rows,' 'dough,' 'trays,' 'that,' 'are' are neutral descriptive/structural words with no anthropomorphic or technomorphic weight themselves.",anthropomorphism,13050
"The sentence describes a person as a 'broken down machine,' merging human and mechanical registers by depicting her immobility and distress in mechanical terms, thus reflecting a hybrid understanding.",Yes,"'down' is part of 'broken down machine,' a mechanical metaphor applied to a human being, showing malfunction/stillness, blending mechanical imagery with human emotional/physical state.",technomorphism,4859
"The machine is described as engaging in 'lively manufacture,' attributing vitality to the mechanical process, reflecting a hybrid blending of living and mechanical registers.",Yes,"'a' and 'is' are grammatically functional and not directly relevant. 'fairy' contributes to the whimsical, lively framing of the machine's product, reinforcing the anthropomorphic tone of 'lively manufacture.'",anthropomorphism,13051
"The sentence merely reports the speaker's observation about the scarcity of reaping/harvesting machines in Europe, with no vital, emotional, or mechanical crossover between humans and machines.",No,"These words are functional or descriptive (locations, verbs of perception, machine types) and do not attribute human traits to machines or mechanical traits to humans; they simply describe an observation.",neutral,4858
"The sentence describes a human being reduced to a 'mere machine,' framing her as lacking agency or feeling. This is technomorphism, not a hybrid understanding, since it opposes mechanical (soulless) and human (living) registers rather than blending them.",No,"{'mere': 'Emphasizes reduction, stripping away human qualities, reinforcing opposition between human and machine rather than blending them.', 'now': ""Suggests a change of state, implying she was once more 'human' and has become machine-like, reinforcing contrast rather than hybridity."", '.': 'Not relevant to meaning.', 'a': 'Grammatical article, not relevant to classification.', 'is': 'Copula linking subject to machine metaphor; establishes equivalence but in a reductive, oppositional sense.', 'she': 'Refers to a human being, whose personhood is being diminished by the mechanical comparison, key to the technomorphic framing.'}",technomorphism,13054
"The sentence refers to the sewing machine as 'that thing' and describes a purely mechanical, procedural interaction without emotional or vital qualities attributed to either the machine or the human.",No,"Words like 'thing' and 'machine' refer neutrally to the object; 'work,' 'close,' 'off,' and 'scissors' describe practical actions and tools without blending human and mechanical registers. No anthropomorphic or technomorphic language appears.",neutral,4865
"The sentence describes a human performing tasks 'with the exactitude of a machine,' projecting mechanical precision onto human behavior rather than blending vitality into machines, making it technomorphic rather than hybrid.",No,"'exactitude' signals mechanical precision applied to human action, key to technomorphism. '.', 'a', and 'ii' are punctuation/structural markers with no bearing on the metaphorical content.",technomorphism,4867
"The sentence describes furnace output and fuel efficiency in purely technical, quantitative terms without attributing feeling or vitality to machines or reducing humans to mechanical function.",No,"‘Men’ refers to workers performing labor, described factually; ‘the’ is a neutral article; ‘by’ indicates agency of the machine mechanically, not emotionally—none imply blending of living/mechanical registers.",neutral,13062
"The sentence describes a purely mechanical, industrial process (twisting, winding, weaving) without attributing feeling or vitality to machines or reducing humans to mechanical terms. No interpenetration of registers occurs.",No,"The words 'roving' and 'throstles' name types of machines, and 'and' simply connects list items; none imply human-like agency or emotion, nor describe humans mechanically.",neutral,4871
"The speaker denies being either childish or a 'cold, calculating machine,' reinforcing a contrast between human feeling and mechanical coldness rather than blending them, so registers remain opposed, not interpenetrating.",No,"'boy' and 'calculating' contrast human youth/feeling with machine-like coldness; 'a' and ',' are structural, not decisive. The sentence uses machine imagery only to reject it, preserving opposition between human and mechanical qualities.",technomorphism,4884
"The steamer is personified with agency and steady vitality ('her undeviating way', 'progresses steadily, yet surely'), blending mechanical and living registers, while the human passenger is merely weary—an anthropomorphic depiction of the machine.",Yes,"{'this': 'refers to the machine, tying description to it', 'of': ""connects 'machine' to 'modern art', linking mechanical and creative/vital registers"", 'wonderful': 'attributes admiration/vitality to the machine, anthropomorphizing it', 'art': 'frames the machine as artistic creation, blending human creativity with mechanism', 'seas': ""context for machine's dominance, not directly relevant to hybridity"", 'modern': ""describes the machine's era, neutral technical term"", ',': 'punctuation, not relevant', 'for': 'logical connector, not relevant', 'on': ""locates action ('on her undeviating way'), supports personification"", 'against': 'used for sails flapping against mast, describing bark not steamer, less relevant'}",anthropomorphism,13084
"The sentence contrasts the confining sewing machine with the free-flying gull, symbolizing human longing for freedom versus mechanical monotony. No vitality is given to the machine, nor is the woman described mechanically; the opposition is thematic, not hybrid.",No,"{'sewing': 'Refers to the sewing machine, symbol of repetitive labor, but not personified or given life.', 'distance': ""Describes the gull's flight, emphasizing freedom and space, unrelated to mechanical imagery."", 'eye': 'Represents human perception and longing, not merged with mechanical function.', 'would': 'Indicates habitual human action (sighing, watching), reinforcing emotional contrast rather than blending registers.', 'to': 'Connects human action to observation of nature, maintaining separation between mechanical and living worlds.'}",neutral,13085
"The sentence merely states the machine's operational status ('not down yet'), using technical language without attributing feeling, vitality, or agency to it.",No,"{'the': 'Definite article, no bearing on register.', 's': ""Contraction indicating possession/state ('machine's'), purely grammatical."", 'down': 'Technical status term meaning non-functional; mechanical register only.', 'no': ""Negation of 'down', indicates operational status."", '""': 'Punctuation mark, no semantic content.', 'yet': 'Temporal marker indicating ongoing status, not emotional or vital.', ""'"": 'Punctuation, no semantic content.'}",neutral,13086
"The sentence explicitly opposes machine and human qualities, describing a woman as machine-like rather than human, which contrasts rather than blends the two registers—though the comparison itself is technomorphic.",No,"‘human’ and ‘being’ mark the contrasted category she fails to resemble; ‘she’ and ‘was’ establish her as subject and state; ‘in,’ ‘ward,’ and ‘a’ are structural/grammatical, not central to the human-machine opposition.",technomorphism,4902
"The speaker denies being 'quite a machine,' implying partial mechanical identity mixed with human agency—suggesting an interpenetration of mechanical and human/emotional registers rather than strict opposition.",Yes,"{'a': ""Part of the phrase 'a machine,' marking the metaphorical comparison between self and machine."", 'quite': 'Qualifies the negation, implying partial mechanical likeness, reinforcing hybridity.', 'been': 'Verb indicating a state of being, linking self-identity to the machine metaphor.', 'fortress': ""Addressee's name; not directly relevant to hybridity or metaphor content."", 'i': 'Subject of the sentence, the human speaker being compared to a machine.', ""'.'"": 'Sentence-ending punctuation, no semantic contribution.'}",technomorphism,4903
"The sentence compares human speech to a machine's output, describing the person's words as mechanical—jerky and harsh—thus projecting machine-like qualities onto human behavior, reflecting a hybrid, technomorphic framing.",Yes,"'came' and 'words' refer to human speech; 'harsh' and the implied 'jerky' quality describe that speech as machine-like. 'Uy' is likely a typo/artifact and not meaningful. '.' and 'a' are punctuation/grammatical, not substantive.",technomorphism,4912
"The sentence describes a man rewarded for skillfully operating a machine; the machine itself is portrayed as a neutral tool, with no blending of mechanical and living/emotional qualities.",No,"Words like 'of, the, list, one, bracelet, Rhys, Julius, a, on' are neutral function or narrative words unrelated to machine-human blending; they provide context (reward, naming) but do not attribute feeling or agency to machines or mechanical traits to humans.",neutral,13105
"The sentence describes machines purely functionally, operated by workers, with no vitality, feeling, or agency attributed to the machines, nor mechanical traits projected onto humans.",No,"{'stamp': 'refers to government stamp printed, neutral technical term', 'a': 'grammatical, no relevance', 'worked': 'describes mechanical operation by men, functional not emotional', ',': 'punctuation, irrelevant', 'have': 'neutral possession verb', 'they': 'refers to factory owners, neutral pronoun', 'men': 'human workers, described plainly without mechanical traits', 'cigarrillos': 'product being wrapped, neutral noun', 'for': 'grammatical connector', 'another': 'refers to second machine, neutral', 'up': 'part of phrasal verb, irrelevant', 'cut': 'mechanical function, neutral', 'papers': 'material processed, neutral', '.': 'punctuation, irrelevant', 'two': 'quantifier, neutral', 'ping': ""part of 'wrapping', irrelevant fragment"", 'bundles': 'objects being wrapped, neutral', 'government': ""modifies 'stamp', administrative term, neutral""}",neutral,13111
"The sentence merely refers to 'my two machines' as possessions, without attributing feeling or vitality to them or describing humans mechanically. No hybridization occurs.",No,"{'two': 'Quantifies the machines but adds no emotional or vital quality.', 'my': 'Indicates possession, not hybridity.', '.': 'Punctuation, irrelevant.', 'his': ""Refers to the other person's invitation, no machine-human blending."", 'invitation': 'Social gesture, unrelated to mechanical framing.', '""': 'Punctuation marking quoted speech, irrelevant.', 'had': 'Auxiliary verb, no bearing on hybridity.', 'accepted': 'Describes a human action, not linked to machine imagery.'}",neutral,13115
"The sentence contrasts 'dumb machines' with youths who are 'still more dumb,' blurring the line between mechanical and human by describing humans in terms typically reserved for lifeless machines, showing technomorphism rather than clear opposition.",Yes,"{'these': 'Refers to the machines, setting up the comparison with the youths that follows.', 'youths': ""The humans described in mechanical terms ('dumb'), central to the technomorphic framing."", 'dumb': 'Applied to both machines and youths, collapsing the distinction between mechanical inertness and human dullness.', 'stand': 'Positions the youths physically behind the machines, reinforcing their passive, mechanical role.', 'are': ""Links youths directly to the quality 'dumb,' equating their mental state with that of machines."", 'behind': 'Spatially situates humans in a subordinate, mechanical-like relation to the machines they operate.'}",technomorphism,4925
"Machines are called 'dumb' (mute/inert), while the youths tending them are also called 'dumb' and reduced to passive feeders of automatic balances, blurring human agency with mechanical repetition.",Yes,"youths' are described as 'dumb', echoing the machines' quality, reducing them to mechanical passivity; 'stand' emphasizes their inert, statue-like posture; 'these' links the youths directly to the machines' condition.",technomorphism,4926
"The sentence blends human and mechanical registers by calling the boys 'machines' that 'work for itself,' merging human labor with mechanical autonomy, showing hybridity.",Yes,"boys: humans described as machine parts; each machine: attributes self-sufficient action to the mechanized boys, blending human/mechanical agency; trap, this, and, ,: structural/connective words, not directly relevant to hybridity.",technomorphism,4927
"Machines are called 'children of man' capable of being 'deceived,' attributing human fallibility and familial origin to mechanical devices, exemplifying a hybrid, anthropomorphic view of machines.",Yes,"‘Children’ frames machines as offspring, implying kinship and human-like fallibility; ‘these’ specifies the machines being described; the comma structures the clause linking human error to machine behavior, reinforcing the blending of human and mechanical traits.",anthropomorphism,4929
"The sentence contrasts machines, horses, children, and men as distinct categories requiring different management, keeping mechanical and living registers separate rather than blending them.",No,"‘Child’ and ‘horse’ represent living beings contrasted with machines, reinforcing separation rather than interpenetration. ‘A’ is a grammatical article with no semantic relevance to the hybridity or anthropomorphism/technomorphism question.",neutral,13128
"The sentence explicitly opposes 'man' and 'machine,' framing the comparison as a degradation rather than blending mechanical and human/emotional registers, so it reflects opposition, not hybridity, while still describing a human in mechanical terms.",No,"‘man’ and ‘machine’ are set in contrast, with ‘better’ marking a hierarchy that separates human worth from mechanical inferiority. ‘You’ refers to a human being described as machine-like, showing technomorphism, but the framing opposes rather than merges the two registers.",technomorphism,13130
"The sentence contrasts human obedience with machine obedience, treating machines as inert and inferior rather than blending living and mechanical qualities. This reflects opposition, not hybridity.",No,"'man' signals the human register valued for its will/agency, while the implied 'machine' represents mere mechanical compliance, keeping the two categories distinct and opposed rather than interpenetrating.",neutral,13134
"The word 'christen' applies a human, ritualistic, life-marking ceremony to a machine, treating it like a person or ship being named, blending mechanical and living registers.",Yes,"'Christen' is key—it's a human ritual for naming living beings or vessels, applied here to a machine, granting it symbolic personhood. Other words like 'we', 'going', 'to', 'the' are neutral/grammatical and not directly relevant.",anthropomorphism,4949
"The sentence merely mentions christening a machine, a ceremonial human act, but does not attribute feeling or vitality to the machine, nor describe a human mechanically.",No,"christen: a human ritual act applied to a machine, but doesn't grant it life/agency; machine: object being named, not personified; other words are structural or neutral, providing no anthropomorphic or technomorphic content.",neutral,4951
"The wish to 'christen the machine' treats it like a living being or ship deserving a naming ritual, blending human ceremonial practice with a mechanical object, though the emotion (pang) belongs to the woman herself.",Yes,"{';': 'empty', 'the': 'empty', 'christen': 'Naming ritual typically reserved for humans or vessels, implying the machine is treated as a living or personal entity worthy of identity.', 'pang': 'Describes human emotional disappointment, not machine feeling, showing the emotion is human-centered rather than machine-centered.', 'soundness': 'Refers to logical validity of an argument, a rational human quality, unrelated to hybridity.', 'this': 'empty'}",anthropomorphism,4952
"The sentence calls Miss Marjoribanks a 'singing machine,' projecting mechanical qualities—function, repetition, lack of agency—onto a human, blending living and mechanical registers in a hybrid, technomorphic way.",Yes,"‘Employ’ and ‘singing machine’ frame the woman as a hired mechanical function; ‘room’ and ‘drawing’ set the domestic scene where she is summoned to perform, reinforcing her reduction to a device-like role.",technomorphism,13143
"The sentence merely describes machines working mechanically alongside natural features like dams and water, without attributing feeling or vitality to machines or mechanical traits to humans.",No,"'puddling' and 'machines' denote industrial function; 'dozen', 'three' are neutral quantifiers; 'dams' and 'filled' describe natural/water features, not blending mechanical and living registers.",neutral,4955
"The machines are described as clipping tickets 'nonchalantly,' attributing a human-like indifference or emotional detachment to mechanical devices, blending mechanical function with emotional register.",Yes,"‘Girl’ relates to human context contrasted with machines; ‘the’ is not relevant; ‘of’ is not relevant. The key term is 'nonchalantly,' which humanizes the machine's action, showing interpenetration of mechanical and emotional registers.",anthropomorphism,13147
"The sentence anthropomorphizes the machine by describing it as being 'fed,' a biological/human action, blending mechanical and living registers rather than opposing them.",Yes,'one' refers to a human worker whose duty is described mechanically (repetitive task); 'the' is a neutral article with no bearing on the hybridity or anthropomorphism.,anthropomorphism,4963
"The machine is described as autonomously performing a full sequence of human-like tasks (folding, gumming, drying), blurring the line between mechanical process and purposeful action, suggesting a hybrid register.",Yes,"'Machine' and 'job' frame mechanical action as purposeful labor; 'paper' and 'envelope(s)' are objects handled with human-like care; 'work girl' and 'who' introduce human labor paralleling the machine's actions, blending human and mechanical registers; 'entire' emphasizes completeness of an almost self-sufficient process.",anthropomorphism,4964
